set_number,set_name,year_released,number_of_parts,image_url,theme_name
42025-1,Cargo Plane,2014.0,1297.0,https://cdn.rebrickable.com/media/sets/42025-1.jpg,Technic
42026-1,Black Champion Racer,2014.0,138.0,https://cdn.rebrickable.com/media/sets/42026-1.jpg,Technic
42027-1,Desert Racer,2014.0,149.0,https://cdn.rebrickable.com/media/sets/42027-1.jpg,Technic
42028-1,Bulldozer,2014.0,617.0,https://cdn.rebrickable.com/media/sets/42028-1.jpg,Technic
42029-1,Customized Pick up Truck,2014.0,1063.0,https://cdn.rebrickable.com/media/sets/42029-1.jpg,Technic
42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014.0,1636.0,https://cdn.rebrickable.com/media/sets/42030-1.jpg,Technic
42031-1,Cherry Picker,2015.0,155.0,https://cdn.rebrickable.com/media/sets/42031-1.jpg,Technic
42032-1,Compact Tracked Loader,2015.0,252.0,https://cdn.rebrickable.com/media/sets/42032-1.jpg,Technic
42033-1,Record Breaker,2015.0,125.0,https://cdn.rebrickable.com/media/sets/42033-1.jpg,Technic
42034-1,Quad Bike,2015.0,148.0,https://cdn.rebrickable.com/media/sets/42034-1.jpg,Technic
42035-1,Mining Truck,2015.0,362.0,https://cdn.rebrickable.com/media/sets/42035-1.jpg,Technic
42036-1,Street Motorcycle,2015.0,375.0,https://cdn.rebrickable.com/media/sets/42036-1.jpg,Technic
42037-1,Formula Off-Roader,2015.0,494.0,https://cdn.rebrickable.com/media/sets/42037-1.jpg,Technic
42038-1,Arctic Truck,2015.0,913.0,https://cdn.rebrickable.com/media/sets/42038-1.jpg,Technic
42039-1,24 Hours Race Car,2015.0,1219.0,https://cdn.rebrickable.com/media/sets/42039-1.jpg,Technic
42040-1,Fire Plane,2015.0,578.0,https://cdn.rebrickable.com/media/sets/42040-1.jpg,Technic
42041-1,Race Truck,2015.0,608.0,https://cdn.rebrickable.com/media/sets/42041-1.jpg,Technic
42042-1,Crawler Crane,2015.0,1400.0,https://cdn.rebrickable.com/media/sets/42042-1.jpg,Technic
42043-1,Mercedes-Benz Arocs 3245,2015.0,2793.0,https://cdn.rebrickable.com/media/sets/42043-1.jpg,Technic
42044-1,Display Team Jet,2016.0,113.0,https://cdn.rebrickable.com/media/sets/42044-1.jpg,Technic
42045-1,Hydroplane Racer,2016.0,180.0,https://cdn.rebrickable.com/media/sets/42045-1.jpg,Technic
42046-1,Getaway Racer,2016.0,170.0,https://cdn.rebrickable.com/media/sets/42046-1.jpg,Technic
42047-1,Police Interceptor,2016.0,185.0,https://cdn.rebrickable.com/media/sets/42047-1.jpg,Technic
42048-1,Race Kart,2016.0,345.0,https://cdn.rebrickable.com/media/sets/42048-1.jpg,Technic
42049-1,Mine Loader,2016.0,476.0,https://cdn.rebrickable.com/media/sets/42049-1.jpg,Technic
42050-1,Drag Racer,2016.0,647.0,https://cdn.rebrickable.com/media/sets/42050-1.jpg,Technic
42052-1,Heavy Lift Helicopter,2016.0,1042.0,https://cdn.rebrickable.com/media/sets/42052-1.jpg,Technic
42053-1,Volvo EW160E,2016.0,1166.0,https://cdn.rebrickable.com/media/sets/42053-1.jpg,Technic
42054-1,CLAAS XERION 5000 TRAC VC,2016.0,1976.0,https://cdn.rebrickable.com/media/sets/42054-1.jpg,Technic
42055-1,Bucket Wheel Excavator,2016.0,3929.0,https://cdn.rebrickable.com/media/sets/42055-1.jpg,Technic
42056-1,Porsche 911 GT3 RS,2016.0,2704.0,https://cdn.rebrickable.com/media/sets/42056-1.jpg,Technic
42057-1,Ultralight Helicopter,2017.0,199.0,https://cdn.rebrickable.com/media/sets/42057-1.jpg,Technic
42058-1,Stunt Bike,2017.0,140.0,https://cdn.rebrickable.com/media/sets/42058-1.jpg,Technic
42059-1,Stunt Truck,2017.0,142.0,https://cdn.rebrickable.com/media/sets/42059-1.jpg,Technic
42060-1,Roadwork Crew,2017.0,365.0,https://cdn.rebrickable.com/media/sets/42060-1.jpg,Technic
42061-1,Telehandler,2017.0,260.0,https://cdn.rebrickable.com/media/sets/42061-1.jpg,Technic
42062-1,Container Yard,2017.0,631.0,https://cdn.rebrickable.com/media/sets/42062-1.jpg,Technic
42063-1,BMW R 1200 GS Adventure,2017.0,603.0,https://cdn.rebrickable.com/media/sets/42063-1.jpg,Technic
42063-40,Technic 40 Year Anniversary Model,2017.0,573.0,https://cdn.rebrickable.com/media/sets/42063-40.jpg,Technic
42064-1,Ocean Explorer,2017.0,1327.0,https://cdn.rebrickable.com/media/sets/42064-1.jpg,Technic
42065-1,RC Tracked Racer,2017.0,370.0,https://cdn.rebrickable.com/media/sets/42065-1.jpg,Technic
42066-1,Air Race Jet,2017.0,1151.0,https://cdn.rebrickable.com/media/sets/42066-1.jpg,Technic
42068-1,Airport Rescue Vehicle,2017.0,1106.0,https://cdn.rebrickable.com/media/sets/42068-1.jpg,Technic
42069-1,Extreme Adventure,2017.0,2382.0,https://cdn.rebrickable.com/media/sets/42069-1.jpg,Technic
42070-1,6x6 All Terrain Tow Truck,2017.0,1862.0,https://cdn.rebrickable.com/media/sets/42070-1.jpg,Technic
42071-1,Dozer Compactor,2018.0,171.0,https://cdn.rebrickable.com/media/sets/42071-1.jpg,Technic
42072-1,WHACK!,2018.0,135.0,https://cdn.rebrickable.com/media/sets/42072-1.jpg,Technic
42073-1,BASH!,2018.0,139.0,https://cdn.rebrickable.com/media/sets/42073-1.jpg,Technic
42074-1,Racing Yacht,2018.0,331.0,https://cdn.rebrickable.com/media/sets/42074-1.jpg,Technic
42075-1,First Responder,2018.0,513.0,https://cdn.rebrickable.com/media/sets/42075-1.jpg,Technic
42076-1,Hovercraft,2018.0,1020.0,https://cdn.rebrickable.com/media/sets/42076-1.jpg,Technic
42077-1,Rally Car,2018.0,1005.0,https://cdn.rebrickable.com/media/sets/42077-1.jpg,Technic
42078-1,Mack Anthem,2018.0,2595.0,https://cdn.rebrickable.com/media/sets/42078-1.jpg,Technic
42079-1,Heavy Duty Forklift,2018.0,592.0,https://cdn.rebrickable.com/media/sets/42079-1.jpg,Technic
42080-1,Forest Machine,2018.0,1003.0,https://cdn.rebrickable.com/media/sets/42080-1.jpg,Technic
42081-1,Volvo Concept Wheel Loader ZEUX,2018.0,1167.0,https://cdn.rebrickable.com/media/sets/42081-1.jpg,Technic
42082-1,Rough Terrain Crane,2018.0,4056.0,https://cdn.rebrickable.com/media/sets/42082-1.jpg,Technic
42083-1,Bugatti Chiron,2018.0,3599.0,https://cdn.rebrickable.com/media/sets/42083-1.jpg,Technic
42084-1,Hook Loader,2018.0,176.0,https://cdn.rebrickable.com/media/sets/42084-1.jpg,Technic
42088-1,Cherry Picker,2019.0,155.0,https://cdn.rebrickable.com/media/sets/42088-1.jpg,Technic
42089-1,Power Boat,2019.0,174.0,https://cdn.rebrickable.com/media/sets/42089-1.jpg,Technic
42090-1,Getaway Truck,2019.0,128.0,https://cdn.rebrickable.com/media/sets/42090-1.jpg,Technic
42091-1,Police Pursuit,2019.0,120.0,https://cdn.rebrickable.com/media/sets/42091-1.jpg,Technic
42092-1,Rescue Helicopter,2019.0,325.0,https://cdn.rebrickable.com/media/sets/42092-1.jpg,Technic
42093-1,Chevrolet Corvette ZR1,2019.0,579.0,https://cdn.rebrickable.com/media/sets/42093-1.jpg,Technic
42094-1,Tracked Loader,2019.0,827.0,https://cdn.rebrickable.com/media/sets/42094-1.jpg,Technic
42095-1,Remote-Controlled Stunt Racer,2019.0,324.0,https://cdn.rebrickable.com/media/sets/42095-1.jpg,Technic
42096-1,Porsche 911 RSR,2019.0,1580.0,https://cdn.rebrickable.com/media/sets/42096-1.jpg,Technic
42097-1,Compact Crawler Crane,2019.0,920.0,https://cdn.rebrickable.com/media/sets/42097-1.jpg,Technic
42098-1,Car Transporter,2019.0,2493.0,https://cdn.rebrickable.com/media/sets/42098-1.jpg,Technic
42099-1,4x4 X-treme Off-Roader,2019.0,958.0,https://cdn.rebrickable.com/media/sets/42099-1.jpg,Technic
42100-1,Liebherr R 9800 Excavator,2019.0,4108.0,https://cdn.rebrickable.com/media/sets/42100-1.jpg,Technic
42101-1,Buggy,2020.0,117.0,https://cdn.rebrickable.com/media/sets/42101-1.jpg,Technic
42102-1,Mini CLAAS XERION,2020.0,130.0,https://cdn.rebrickable.com/media/sets/42102-1.jpg,Technic
42103-1,Dragster,2020.0,225.0,https://cdn.rebrickable.com/media/sets/42103-1.jpg,Technic
42104-1,Race Truck,2020.0,227.0,https://cdn.rebrickable.com/media/sets/42104-1.jpg,Technic
42105-1,Catamaran,2020.0,405.0,https://cdn.rebrickable.com/media/sets/42105-1.jpg,Technic
42106-1,Stunt Show Truck & Bike,2020.0,610.0,https://cdn.rebrickable.com/media/sets/42106-1.jpg,Technic
42107-1,Ducati Panigale V4 R,2020.0,646.0,https://cdn.rebrickable.com/media/sets/42107-1.jpg,Technic
42108-1,Mobile Crane,2020.0,1292.0,https://cdn.rebrickable.com/media/sets/42108-1.jpg,Technic
42109-1,App-Controlled Top Gear Rally Car,2020.0,463.0,https://cdn.rebrickable.com/media/sets/42109-1.jpg,Technic
42110-1,Land Rover Defender,2019.0,2573.0,https://cdn.rebrickable.com/media/sets/42110-1.jpg,Technic
42111-1,Dom's Dodge Charger,2020.0,1077.0,https://cdn.rebrickable.com/media/sets/42111-1.jpg,Technic
42112-1,Cement Mixer,2020.0,1161.0,https://cdn.rebrickable.com/media/sets/42112-1.jpg,Technic
42113-1,Bell Boeing V-22 Osprey,2020.0,1636.0,https://cdn.rebrickable.com/media/sets/42113-1.jpg,Technic
42114-1,6x6 Volvo Articulated Hauler,2020.0,2193.0,https://cdn.rebrickable.com/media/sets/42114-1.jpg,Technic
42115-1,Lamborghini Sián FKP 37,2020.0,3696.0,https://cdn.rebrickable.com/media/sets/42115-1.jpg,Technic
42116-1,Skid Steer Loader,2021.0,139.0,https://cdn.rebrickable.com/media/sets/42116-1.jpg,Technic
42117-1,Race Plane,2021.0,154.0,https://cdn.rebrickable.com/media/sets/42117-1.jpg,Technic
42118-1,Monster Jam Grave Digger,2021.0,212.0,https://cdn.rebrickable.com/media/sets/42118-1.jpg,Technic
42119-1,Monster Jam Max-D,2021.0,230.0,https://cdn.rebrickable.com/media/sets/42119-1.jpg,Technic
42120-1,Rescue Hovercraft,2021.0,457.0,https://cdn.rebrickable.com/media/sets/42120-1.jpg,Technic
42121-1,Heavy-Duty Excavator,2021.0,569.0,https://cdn.rebrickable.com/media/sets/42121-1.jpg,Technic
42122-1,Jeep Wrangler,2021.0,665.0,https://cdn.rebrickable.com/media/sets/42122-1.jpg,Technic
42123-1,McLaren Senna GTR,2021.0,830.0,https://cdn.rebrickable.com/media/sets/42123-1.jpg,Technic
42124-1,Off-Road Buggy,2021.0,374.0,https://cdn.rebrickable.com/media/sets/42124-1.jpg,Technic
42125-1,"Ferrari 488 GTE ""AF Corse #51""",2021.0,1677.0,https://cdn.rebrickable.com/media/sets/42125-1.jpg,Technic
42126-1,Ford F-150 Raptor,2021.0,1379.0,https://cdn.rebrickable.com/media/sets/42126-1.jpg,Technic
42127-1,The Batman - Batmobile,2021.0,1360.0,https://cdn.rebrickable.com/media/sets/42127-1.jpg,Technic
42128-1,Heavy Duty Tow Truck,2021.0,2017.0,https://cdn.rebrickable.com/media/sets/42128-1.jpg,Technic
42129-1,4x4 Mercedes-Benz Zetros Trial Truck,2021.0,2131.0,https://cdn.rebrickable.com/media/sets/42129-1.jpg,Technic
42130-1,BMW Motorrad M 1000 RR,2022.0,1918.0,https://cdn.rebrickable.com/media/sets/42130-1.jpg,Technic
42131-1,Cat D11 Bulldozer,2021.0,3854.0,https://cdn.rebrickable.com/media/sets/42131-1.jpg,Technic
42132-1,Motorcycle,2022.0,163.0,https://cdn.rebrickable.com/media/sets/42132-1.jpg,Technic
42133-1,Telehandler,2022.0,143.0,https://cdn.rebrickable.com/media/sets/42133-1.jpg,Technic
42134-1,Monster Jam Megalodon,2022.0,260.0,https://cdn.rebrickable.com/media/sets/42134-1.jpg,Technic
42135-1,Monster Jam El Toro Loco,2022.0,247.0,https://cdn.rebrickable.com/media/sets/42135-1.jpg,Technic
42136-1,John Deere 9620R 4WD Tractor,2022.0,390.0,https://cdn.rebrickable.com/media/sets/42136-1.jpg,Technic
42137-1,Formula E Porsche 99X Electric,2022.0,422.0,https://cdn.rebrickable.com/media/sets/42137-1.jpg,Technic
42138-1,Ford Mustang Shelby GT500,2022.0,544.0,https://cdn.rebrickable.com/media/sets/42138-1.jpg,Technic
42139-1,All-Terrain Vehicle,2022.0,764.0,https://cdn.rebrickable.com/media/sets/42139-1.jpg,Technic
42140-1,App-Controlled Transformation Vehicle,2022.0,772.0,https://cdn.rebrickable.com/media/sets/42140-1.jpg,Technic
42141-1,McLaren Formula 1 Team 2022 (First Edition),2022.0,1432.0,https://cdn.rebrickable.com/media/sets/42141-1.jpg,Technic
42141-2,McLaren Formula 1 Team 2022 (Second Edition),2022.0,1432.0,https://cdn.rebrickable.com/media/sets/42141-2.jpg,Technic
42143-1,Ferrari Daytona SP3,2022.0,3778.0,https://cdn.rebrickable.com/media/sets/42143-1.jpg,Technic
42144-1,Material Handler,2022.0,835.0,https://cdn.rebrickable.com/media/sets/42144-1.jpg,Technic
42145-1,Airbus H175 Rescue Helicopter,2022.0,2001.0,https://cdn.rebrickable.com/media/sets/42145-1.jpg,Technic
42146-1,Liebherr Crawler Crane LR 13000,2023.0,2883.0,https://cdn.rebrickable.com/media/sets/42146-1.jpg,Technic
42147-1,Dump Truck,2023.0,177.0,https://cdn.rebrickable.com/media/sets/42147-1.jpg,Technic
42148-1,Snow Groomer,2023.0,178.0,https://cdn.rebrickable.com/media/sets/42148-1.jpg,Technic
42149-1,Monster Jam Dragon,2023.0,217.0,https://cdn.rebrickable.com/media/sets/42149-1.jpg,Technic
42150-1,Monster Jam Monster Mutt Dalmatian,2023.0,244.0,https://cdn.rebrickable.com/media/sets/42150-1.jpg,Technic
42151-1,Bugatti Bolide,2023.0,905.0,https://cdn.rebrickable.com/media/sets/42151-1.jpg,Technic
42152-1,Firefighter Aircraft,2023.0,1134.0,https://cdn.rebrickable.com/media/sets/42152-1.jpg,Technic
42153-1,NASCAR Next Gen Chevrolet Camaro ZL1,2023.0,672.0,https://cdn.rebrickable.com/media/sets/42153-1.jpg,Technic
42154-1,2022 Ford GT,2023.0,1466.0,https://cdn.rebrickable.com/media/sets/42154-1.jpg,Technic
42155-1,The Batman - Batcycle,2023.0,641.0,https://cdn.rebrickable.com/media/sets/42155-1.jpg,Technic
42156-1,Peugeot 9X8 Le Mans Hybrid Hypercar,2023.0,1775.0,https://cdn.rebrickable.com/media/sets/42156-1.jpg,Technic
42157-1,John Deere 948L-II Skidder,2023.0,1492.0,https://cdn.rebrickable.com/media/sets/42157-1.jpg,Technic
42158-1,NASA Mars Rover Perseverance,2023.0,1132.0,https://cdn.rebrickable.com/media/sets/42158-1.jpg,Technic
42159-1,Yamaha MT-10 SP,2023.0,1478.0,https://cdn.rebrickable.com/media/sets/42159-1.jpg,Technic
42160-1,Audi RS Q e-tron,2023.0,914.0,https://cdn.rebrickable.com/media/sets/42160-1.jpg,Technic
42161-1,Lamborghini Huracán Tecnica,2023.0,806.0,https://cdn.rebrickable.com/media/sets/42161-1.jpg,Technic
42162-1,Bugatti Bolide Agile Blue,2023.0,905.0,https://cdn.rebrickable.com/media/sets/42162-1.jpg,Technic
5004193-1,Technic Racer Collection,2014.0,0.0,https://cdn.rebrickable.com/media/sets/5004193-1.jpg,Technic
65340-1,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004.0,0.0,https://cdn.rebrickable.com/media/sets/65340-1.jpg,Technic
66300-1,Technic Kettenbagger-Co-pack,2008.0,0.0,https://cdn.rebrickable.com/media/sets/66300-1.jpg,Technic
66318-1,Technic Super Pack 4 in 1,2009.0,0.0,https://cdn.rebrickable.com/media/sets/66318-1.jpg,Technic
66359-1,Technic Super Pack 4 in 1,2010.0,0.0,https://cdn.rebrickable.com/media/sets/66359-1.jpg,Technic
66397-1,Technic Super Pack 4 in 1,2011.0,0.0,https://cdn.rebrickable.com/media/sets/66397-1.jpg,Technic
66433-1,Technic Super Pack 3 in 1,2012.0,0.0,https://cdn.rebrickable.com/media/sets/66433-1.jpg,Technic
66712-1,Monster Jam Collection,2022.0,0.0,https://cdn.rebrickable.com/media/sets/66712-1.jpg,Technic
8041-1,Race Truck,2010.0,608.0,https://cdn.rebrickable.com/media/sets/8041-1.jpg,Technic
8043-1,Motorized Excavator,2010.0,1127.0,https://cdn.rebrickable.com/media/sets/8043-1.jpg,Technic
8045-1,Mini Telehandler,2010.0,117.0,https://cdn.rebrickable.com/media/sets/8045-1.jpg,Technic
8046-1,Helicopter,2010.0,152.0,https://cdn.rebrickable.com/media/sets/8046-1.jpg,Technic
8047-1,Compact Excavator,2010.0,252.0,https://cdn.rebrickable.com/media/sets/8047-1.jpg,Technic
8048-1,Buggy,2010.0,314.0,https://cdn.rebrickable.com/media/sets/8048-1.jpg,Technic
8049-1,Tractor with Log Loader,2010.0,525.0,https://cdn.rebrickable.com/media/sets/8049-1.jpg,Technic
8051-1,Motorbike,2010.0,467.0,https://cdn.rebrickable.com/media/sets/8051-1.jpg,Technic
8052-1,Container Truck,2010.0,686.0,https://cdn.rebrickable.com/media/sets/8052-1.jpg,Technic
8053-1,Mobile Crane,2010.0,1289.0,https://cdn.rebrickable.com/media/sets/8053-1.jpg,Technic
8063-1,Tractor with Trailer,2009.0,1100.0,https://cdn.rebrickable.com/media/sets/8063-1.jpg,Technic
8065-1,Mini Container Truck,2011.0,119.0,https://cdn.rebrickable.com/media/sets/8065-1.jpg,Technic
8066-1,Off-Roader,2011.0,141.0,https://cdn.rebrickable.com/media/sets/8066-1.jpg,Technic
8067-1,Mini Mobile Crane,2011.0,292.0,https://cdn.rebrickable.com/media/sets/8067-1.jpg,Technic
8068-1,Rescue Helicopter,2011.0,408.0,https://cdn.rebrickable.com/media/sets/8068-1.jpg,Technic
8069-1,Backhoe Loader,2011.0,609.0,https://cdn.rebrickable.com/media/sets/8069-1.jpg,Technic
8070-1,Supercar,2011.0,1281.0,https://cdn.rebrickable.com/media/sets/8070-1.jpg,Technic
8071-1,Lift Truck,2011.0,593.0,https://cdn.rebrickable.com/media/sets/8071-1.jpg,Technic
8081-1,Extreme Cruiser,2011.0,590.0,https://cdn.rebrickable.com/media/sets/8081-1.jpg,Technic
8109-1,Flatbed Truck,2011.0,1115.0,https://cdn.rebrickable.com/media/sets/8109-1.jpg,Technic
8110-1,Unimog U400,2011.0,2048.0,https://cdn.rebrickable.com/media/sets/8110-1.jpg,Technic
8203-1,Rover Discovery,1998.0,37.0,https://cdn.rebrickable.com/media/sets/8203-1.jpg,Technic
8204-1,Sky Flyer I,1998.0,41.0,https://cdn.rebrickable.com/media/sets/8204-1.jpg,Technic
8205-1,Bungee Blaster,1997.0,64.0,https://cdn.rebrickable.com/media/sets/8205-1.jpg,Technic
8207-1,Dune Duster / Hawaiian Beach Racer,1996.0,82.0,https://cdn.rebrickable.com/media/sets/8207-1.jpg,Technic
8208-1,Custom Cruiser,1998.0,53.0,https://cdn.rebrickable.com/media/sets/8208-1.jpg,Technic
8209-1,Future F1,1998.0,49.0,https://cdn.rebrickable.com/media/sets/8209-1.jpg,Technic
8210-1,Nitro Bike GTX / GTX 500,1995.0,86.0,https://cdn.rebrickable.com/media/sets/8210-1.jpg,Technic
8213-1,Spy Runner,1998.0,93.0,https://cdn.rebrickable.com/media/sets/8213-1.jpg,Technic
8215-1,Gyro Copter,1997.0,108.0,https://cdn.rebrickable.com/media/sets/8215-1.jpg,Technic
8216-1,Turbo I,1997.0,91.0,https://cdn.rebrickable.com/media/sets/8216-1.jpg,Technic
8217-1,The Wasp,1998.0,64.0,https://cdn.rebrickable.com/media/sets/8217-1.jpg,Technic
8218-1,Trike Tourer,1998.0,70.0,https://cdn.rebrickable.com/media/sets/8218-1.jpg,Technic
8219-1,Go-Cart,1998.0,101.0,https://cdn.rebrickable.com/media/sets/8219-1.jpg,Technic
8222-1,V-TOL,1997.0,141.0,https://cdn.rebrickable.com/media/sets/8222-1.jpg,Technic
8223-1,Hydrofoil 7 / Powerboat Columbia,1996.0,126.0,https://cdn.rebrickable.com/media/sets/8223-1.jpg,Technic
8225-1,Road Rally V / Super Kart,1995.0,97.0,https://cdn.rebrickable.com/media/sets/8225-1.jpg,Technic
8226-1,Mud Masher / Desert Stormer,1998.0,121.0,https://cdn.rebrickable.com/media/sets/8226-1.jpg,Technic
8229-1,Tread Trekker,1997.0,186.0,https://cdn.rebrickable.com/media/sets/8229-1.jpg,Technic
8230-1,Coastal Cop Buggy / Miami Police Patrol,1996.0,176.0,https://cdn.rebrickable.com/media/sets/8230-1.jpg,Technic
8232-1,Chopper Force,1997.0,278.0,https://cdn.rebrickable.com/media/sets/8232-1.jpg,Technic
8235-1,Front End Loader,1995.0,166.0,https://cdn.rebrickable.com/media/sets/8235-1.jpg,Technic
8246-1,Hydro Racer / Swamp Boat,1999.0,46.0,https://cdn.rebrickable.com/media/sets/8246-1.jpg,Technic
8247-1,Road Rebel / Buggy Racer,1999.0,44.0,https://cdn.rebrickable.com/media/sets/8247-1.jpg,Technic
8248-1,Forklift,1998.0,227.0,https://cdn.rebrickable.com/media/sets/8248-1.jpg,Technic
8250-1,Search Sub [No CD],1997.0,378.0,https://cdn.rebrickable.com/media/sets/8250-1.jpg,Technic
8251-1,Sonic Cycle,1999.0,89.0,https://cdn.rebrickable.com/media/sets/8251-1.jpg,Technic
8252-1,Beach Buster / Police Car,1999.0,167.0,https://cdn.rebrickable.com/media/sets/8252-1.jpg,Technic
8253-1,Fire Helicopter,1999.0,211.0,https://cdn.rebrickable.com/media/sets/8253-1.jpg,Technic
8255-1,Rescue Bike,1999.0,193.0,https://cdn.rebrickable.com/media/sets/8255-1.jpg,Technic
8256-1,Go-Kart,2009.0,144.0,https://cdn.rebrickable.com/media/sets/8256-1.jpg,Technic
8258-1,Crane Truck,2009.0,1877.0,https://cdn.rebrickable.com/media/sets/8258-1.jpg,Technic
8259-1,Mini Bulldozer,2009.0,165.0,https://cdn.rebrickable.com/media/sets/8259-1.jpg,Technic
8260-1,Tractor,2009.0,104.0,https://cdn.rebrickable.com/media/sets/8260-1.jpg,Technic
8261-1,Rally Truck,2009.0,198.0,https://cdn.rebrickable.com/media/sets/8261-1.jpg,Technic
8262-1,Quad Bike,2009.0,308.0,https://cdn.rebrickable.com/media/sets/8262-1.jpg,Technic
8263-1,Snow Groomer,2009.0,590.0,https://cdn.rebrickable.com/media/sets/8263-1.jpg,Technic
8264-1,Hauler,2009.0,575.0,https://cdn.rebrickable.com/media/sets/8264-1.jpg,Technic
8265-1,Front Loader,2009.0,1061.0,https://cdn.rebrickable.com/media/sets/8265-1.jpg,Technic
8270-1,Rough Terrain Crane,2007.0,106.0,https://cdn.rebrickable.com/media/sets/8270-1.jpg,Technic
8271-1,Wheel Loader,2007.0,200.0,https://cdn.rebrickable.com/media/sets/8271-1.jpg,Technic
8272-1,Snowmobile,2007.0,333.0,https://cdn.rebrickable.com/media/sets/8272-1.jpg,Technic
